,Train,Test
Precision,0.8568389327187306,0.77699147160225
Recall,0.8122234048512689,0.8578583592106581
F1,0.8339348623193615,0.815424898833611
Accuracy,0.805188671288565,0.7718606567023656
ROC AUC,0.8909661077093569,0.832719395615536
